Name;Age;Team;Position;Games Played;Game Started;Field Goals Made; Field Goals Attempted;Field Goals Made Percentage;3 Point Made;3 Point Attempted;3 Point Made Percentage;Free Throws Made;Free Throws Attempted;Free Throws Made Percentage;Total Rebounds;Rebounds Average;Total Points;Points Average;Total Assists;Assists Average;Total Blocks;Average Blocks;Steals;Steals Average
Carmelo Anthony;32;;F;8;8;33;84;0.393;18;45;0.400;13;21;0.619;42;5.3;97;12.1;18;2.25;2;0.25;5;0.63
Harrison Barnes;24;;F;4;0;6;13;0.462;1;3;0.333;4;4;1.000;7;1.8;17;4.3;3;0.75;0;0.00;2;0.50
Jimmy Butler;26;;G;8;0;13;38;0.342;2;9;0.222;17;18;0.944;20;2.5;45;5.6;11;1.38;1;0.13;6;0.75
DeMarcus Cousins;25;;C;8;5;27;44;0.614;0;0;0;19;23;0.826;46;5.8;73;9.1;13;1.63;3;0.38;4;0.50
DeMar DeRozan;26;;G;7;0;16;27;0.593;0;2;0.000;14;18;0.778;10;1.4;46;6.6;6;0.86;1;0.14;6;0.86
Kevin Durant;27;;G;8;8;52;90;0.578;25;43;0.581;26;32;0.813;40;5.0;155;19.4;28;3.50;4;0.40;8;0.00
Paul George;26;;G;8;2;32;70;0.457;8;28;0.286;18;21;0.857;36;4.5;90;11.3;15;1.88;5;0.53;12;0.50
Draymond Green;26;;F;8;0;5;22;0.227;1;11;0.090;4;7;0.571;17;2.1;15;1.9;10;1.25;1;0.13;7;0.88
Kyrie Irving;;; G;8;8;31;65;0.477;9;24;0.375;20;22;0.909;20;2.5;91;11.4;0;0.00;3;0.38;24;0.00
DeAndre Jordan;27;;C;8;3;23;31;0.742;0;0;0;13;32;0.406;49;6.1;59;7.4;6;0.75;9;0.93;4;0.50
Kyle Lowry;30;;G;8;0;12;29;0.414;3;11;0.273;13;17;0.765;26;3.3;40;5.0;30;3.75;0;0.00;7;0.88
Klay Thompson;26;;G;8;6;28;77;0.363;16;49;0.327;7;9;0.778;20;2.5;79;9.9;13;1.63;2;0.25;6;0.75
