Rank;TEAM;Points Per Game;Average Field Goals Made;Average Field Goals Attempted;Field Goals Made Percentage;Average 3-Point Field Goals Made;Average 3-Point Field Goals Attempted;3-Point Field Goal Percentage;Average Free Throws Made;Average Free Throws Attempted;Free Throw Percentage;Rebounds Per Game;Assists Per Game;Steals Per Game;Blocks Per Game;Turnovers Per Game
1;Golden State Warriors;115.9;43.1;87.1;49.5;12.0;31.2;38.3;17.8;22.6;78.8;44.4;30.4;9.6;6.8;14.4
2;Houston Rockets;115.3;40.3;87.2;46.2;14.4;40.3;35.7;20.3;26.5;76.6;44.4;25.2;8.2;4.3;14.5
3;Denver Nuggets;111.7;41.2;87.7;46.9;10.6;28.8;36.8;18.7;24.2;77.4;46.4;25.3;6.9;3.9;14.5
4;Cleveland Cavaliers;110.3;39.9;84.9;47.0;13.0;33.9;38.4;17.5;23.3;74.8;43.8;22.7;6.6;4.0;13.2
5;Washington Wizards;109.2;41.3;87.0;47.5;9.2;24.8;37.2;17.3;22.1;78.4;42.9;23.9;8.5;4.1;13.5
6;LA Clippers;108.7;39.5;83.2;47.5;10.3;27.4;37.5;19.3;26.0;74.5;43.0;22.5;7.5;4.2;12.5
7;Boston Celtics;108.0;38.6;85.1;45.4;12.0;33.4;35.9;18.7;23.2;80.7;42.0;25.2;7.5;4.1;12.6
8;Portland Trail Blazers;107.9;39.5;86.1;45.9;10.4;27.7;37.5;18.5;23.7;78.0;43.7;21.1;7.0;5.0;13.1
9;Phoenix Suns;107.7;39.9;88.5;45.0;7.5;22.6;33.2;20.4;26.3;77.6;45.0;19.6;8.2;4.9;14.9
10;Toronto Raptors;106.9;39.2;84.4;46.4;8.8;24.3;36.3;19.7;24.7;79.6;43.3;18.5;8.3;4.9;11.8
11;Oklahoma City Thunder;106.6;39.5;87.4;45.2;8.4;25.8;32.7;19.2;25.8;74.5;46.6;21.0;7.9;5.0;14.6
12;Brooklyn Nets;105.8;37.8;85.2;44.4;10.7;31.6;33.8;19.4;24.6;78.8;43.9;21.4;7.2;4.7;15.9
13;Minnesota Timberwolves;105.6;39.5;84.4;46.7;7.3;21.0;34.9;19.3;24.2;79.9;42.4;23.7;8.0;4.5;13.4
14;San Antonio Spurs;105.3;39.3;83.7;46.9;9.2;23.5;39.1;17.6;22.0;79.7;43.9;23.8;8.0;5.9;12.9
15;Indiana Pacers;105.1;39.3;84.5;46.5;8.6;23.0;37.6;17.9;22.1;81.0;42.0;22.5;8.2;5.0;13.3
16;Charlotte Hornets;104.9;37.7;85.4;44.2;10.0;28.6;35.1;19.4;23.8;81.5;43.6;23.1;7.0;4.8;11.0
17;Los Angeles Lakers;104.6;39.3;87.4;45.0;8.9;25.7;34.6;17.0;22.6;75.4;43.5;20.9;8.2;3.9;14.5
18;New Orleans Pelicans;104.3;39.1;87.0;45.0;9.4;26.8;35.0;16.7;22.3;75.0;43.7;22.8;7.8;5.5;12.3
18;New York Knicks;104.3;39.6;88.5;44.7;8.6;24.7;34.8;16.6;21.1;78.8;45.2;21.8;7.1;5.5;13.2
20;Milwaukee Bucks;103.6;38.8;81.9;47.4;8.8;23.7;37.0;17.2;22.4;76.8;40.4;24.2;8.1;5.3;13.4
21;Miami Heat;103.2;39.0;85.8;45.5;9.9;27.0;36.5;15.2;21.6;70.6;43.6;21.2;7.2;5.8;12.6
22;Atlanta Hawks;103.2;38.1;84.4;45.1;8.9;26.1;34.1;18.1;24.9;72.8;44.3;23.6;8.2;4.8;15.2
23;Chicago Bulls;102.9;38.6;87.1;44.4;7.6;22.3;34.0;18.0;22.5;79.8;46.3;22.6;7.8;4.8;13.0
24;Sacramento Kings;102.8;37.9;82.1;46.1;9.0;23.9;37.6;18.1;23.3;77.5;41.1;22.5;7.6;4.0;14.1
25;Philadelphia 76ers;102.4;37.7;85.2;44.2;10.1;29.8;34.0;17.0;22.0;77.1;42.8;23.8;8.4;5.1;16.0
26;Detroit Pistons;101.3;39.9;88.8;44.9;7.7;23.3;33.0;13.9;19.3;71.9;45.7;21.1;7.0;3.8;11.4
27;Orlando Magic;101.1;38.3;87.0;44.0;8.5;26.1;32.8;16.0;21.4;74.7;43.2;22.2;7.1;4.8;12.8
28;Utah Jazz;100.7;37.0;79.5;46.6;9.6;26.0;37.2;17.1;22.9;74.7;43.2;20.1;6.7;5.0;12.9
29;Memphis Grizzlies;100.5;36.4;83.6;43.5;9.4;26.5;35.4;18.3;23.4;78.4;42.8;21.3;8.0;4.2;12.4
30;Dallas Mavericks;97.9;36.2;82.3;44.0;10.7;30.2;35.5;14.8;18.5;80.1;38.6;20.8;7.5;3.7;11.2
